Symbol,Name,AtomicNumber,AtomicWeight,Dielectric_Constant,Source_Dielectric
H,hydrogen,1,1.00794,1.23,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
He,helium,2,4.002602,1.055,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
Li,lithium,3,6.941,3.5,https://pubs.acs.org/doi/10.1021/acs.jpcc.5b06022
Be,beryllium,4,9.012182,6,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
B,boron,5,10.811,3.5,https://www.nature.com/articles/s41699-018-0050-x
C,carbon,6,12.0107,2.75,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
N,nitrogen,7,14.0067,1.00058,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
O,oxygen,8,15.9994,1.000494,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
F,fluorine,9,18.9984032,3.7,https://www.researchgate.net/publication/234916486_Reasons_for_lower_dielectric_constant_of_fluorinated_SiO2_films/figures?lo=1
Ne,neon,10,20.1797,1.000127,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
Na,sodium,11,22.98977,2.8,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.kabusa.com/Dilectric-Constants.pdf
Mg,magnesium,12,24.305,9.7,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
Al,aluminum,13,26.981538,10.4,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
Si,silicon,14,28.0855,11.5,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
P,phosphorus,15,30.973761,4.1,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
S,sulfur,16,32.065,1.65,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
Cl,chlorine,17,35.453,2,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
Ar,argon,18,39.948,1.000513,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
K,potassium,19,39.0983,5.6,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.kabusa.com/Dilectric-Constants.pdf
Ca,calcium,20,40.078,3,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
Sc,scandium,21,44.95591,100000,NULL
Ti,titanium,22,47.867,85,https://www.azom.com/article.aspx?ArticleID=1179
V,vanadium,23,50.9415,2.6,http://www.ydic.co.jp/english/technology/table_E.html
Cr,chromium,24,51.9961,5.56,"https://www.sciencedirect.com/science/article/pii/0040603181851714#:~:text=The%20static%20dielectric%20constant%20E,the%20migration%20of%20charge%20carriers."
Mn,manganese,25,54.938049,3,http://www.ydic.co.jp/english/technology/table_E.html
Fe,iron,26,55.845,1.38,http://www.ydic.co.jp/english/technology/table_E.html
Co,cobalt,27,58.9332,12.9,"https://pubs.aip.org/aip/jap/article/36/6/2031/166198/Dielectric-Properties-of-Cobalt-Oxide-Nickel-Oxide#:~:text=The%20dielectric%20constant%20%CE%BA%E2%80%B2%20is,whole%20frequency%20range%20in%20CoO."
Ni,nickel,28,58.6934,11.9,"https://pubs.aip.org/aip/jap/article/36/6/2031/166198/Dielectric-Properties-of-Cobalt-Oxide-Nickel-Oxide#:~:text=The%20dielectric%20constant%20%CE%BA%E2%80%B2%20is,whole%20frequency%20range%20in%20CoO."
Cu,copper,29,63.546,18.1,https://www.clippercontrols.com/pages/Dielectric-Constant-Values.html#T
Zn,zinc,30,65.409,10.4,"https://iopscience.iop.org/article/10.1088/0508-3443/9/11/308/pdf#:~:text=The%20dielectric%20constant%20of%20zinc%20oxide%20is%20shown%20to%20have,to%20about%2010%20Mc%2Fs."
Ga,gallium,31,69.723,11.52,https://pubs.aip.org/aip/jap/article-abstract/80/12/6939/2671/Infrared-dielectric-constant-of-gallium-arsenide?redirectedFrom=fulltext
Ge,germanium,32,72.64,15.8,"https://journals.aps.org/pr/abstract/10.1103/PhysRev.92.1396#:~:text=The%20dielectric%20constant%20of%20silicon,of%20germanium%2015.8%C2%B10.2."
As,arsenic,33,74.9216,7.459,https://www.sciencedirect.com/science/article/abs/pii/0022369789900681
Se,selenium,34,78.96,,
Br,bromine,35,79.904,,
Kr,krypton,36,83.798,,
Rb,rubidium,37,85.4678,,
Sr,strontium,38,87.62,,
Y,yttrium,39,88.90585,,
Zr,zirconium,40,91.224,,
Nb,niobium,41,92.90638,,
Mo,molybdenum,42,95.94,,
Tc,technetium,43,98,,
Ru,ruthenium,44,101.07,,
Rh,rhodium,45,102.9055,,
Pd,palladium,46,106.42,,
Ag,silver,47,107.8682,,
Cd,cadmium,48,112.411,,
In,indium,49,114.818,,
Sn,tin,50,118.71,,
Sb,antimony,51,121.76,,
Te,tellurium,52,127.6,,
I,iodine,53,126.90447,,
Xe,xenon,54,131.293,,
Cs,cesium,55,132.90545,,
Ba,barium,56,137.327,,
